ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,data_source,ma_short,ma_long,signal,position,daily_ret,strategy_ret,strategy_nav,bh_nav,strategy_dd,bh_dd
000776.SZ,20250707,16.82,17.01,16.79,16.95,,,,312956.0,,tushare_legacy_get_k_data,,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
000776.SZ,20250708,16.95,17.09,16.87,17.05,16.95,0.1000000000000014,0.5899705014749347,427708.0,,tushare_legacy_get_k_data,,,0,0.0,0.005899705014749346,0.0,1.0,1.0058997050147493,0.0,0.0
000776.SZ,20250709,17.05,17.41,17.02,17.08,17.05,0.0299999999999975,0.1759530791788714,490301.0,,tushare_legacy_get_k_data,,,0,0.0,0.0017595307917888103,0.0,1.0,1.007669616519174,0.0,0.0
000776.SZ,20250710,16.99,17.4,16.96,17.36,17.08,0.2800000000000011,1.639344262295089,583690.0,,tushare_legacy_get_k_data,,,0,0.0,0.016393442622950838,0.0,1.0,1.024188790560472,0.0,0.0
000776.SZ,20250711,17.43,17.89,17.31,17.59,17.36,0.2300000000000004,1.3248847926267304,898730.0,,tushare_legacy_get_k_data,17.206,,0,0.0,0.013248847926267349,0.0,1.0,1.0377581120943955,0.0,0.0
000776.SZ,20250714,17.65,17.8,17.53,17.67,17.59,0.0800000000000018,0.45480386583287,512737.0,,tushare_legacy_get_k_data,17.35,,0,0.0,0.004548038658328757,0.0,1.0,1.042477876106195,0.0,0.0
000776.SZ,20250715,17.67,17.93,17.57,17.7,17.67,0.0299999999999975,0.1697792869269812,624269.0,,tushare_legacy_get_k_data,17.48,,0,0.0,0.001697792869269854,0.0,1.0,1.0442477876106198,0.0,0.0
000776.SZ,20250716,17.7,17.75,17.35,17.42,17.7,-0.2799999999999976,-1.5819209039547886,443088.0,,tushare_legacy_get_k_data,17.548000000000002,,0,0.0,-0.01581920903954792,-0.0,1.0,1.027728613569322,0.0,0.01581920903954781
000776.SZ,20250717,17.43,17.52,17.31,17.51,17.42,0.0899999999999998,0.5166475315729039,373011.0,,tushare_legacy_get_k_data,17.578,,0,0.0,0.005166475315729002,0.0,1.0,1.0330383480825962,0.0,0.010734463276836137
000776.SZ,20250718,17.51,18.15,17.5,17.98,17.51,0.4699999999999988,2.6841804683038197,848365.0,,tushare_legacy_get_k_data,17.656,,0,0.0,0.026841804683038095,0.0,1.0,1.0607669616519175,0.0,0.0
000776.SZ,20250721,17.9,18.75,17.8,18.6,17.98,0.620000000000001,3.448275862068971,1031203.0,,tushare_legacy_get_k_data,17.842000000000002,,0,0.0,0.034482758620689724,0.0,1.0,1.097345132743363,0.0,0.0
000776.SZ,20250722,18.52,18.76,18.3,18.69,18.6,0.0899999999999998,0.4838709677419347,639320.0,,tushare_legacy_get_k_data,18.040000000000003,,0,0.0,0.004838709677419395,0.0,1.0,1.1026548672566374,0.0,0.0
000776.SZ,20250723,18.68,19.65,18.65,19.44,18.69,0.75,4.012841091492777,1585335.0,,tushare_legacy_get_k_data,18.444,,0,0.0,0.0401284109149278,0.0,1.0,1.146902654867257,0.0,0.0
000776.SZ,20250724,19.25,20.04,19.25,19.97,19.44,0.5299999999999976,2.726337448559658,1272872.0,,tushare_legacy_get_k_data,18.936,,0,0.0,0.02726337448559657,0.0,1.0,1.178171091445428,0.0,0.0
000776.SZ,20250725,19.97,20.0,19.7,19.83,19.97,-0.1400000000000005,-0.701051577366052,748978.0,,tushare_legacy_get_k_data,19.306,18.056,0,0.0,-0.0070105157736605195,-0.0,1.0,1.169911504424779,0.0,0.0070105157736605195
000776.SZ,20250728,19.82,20.3,19.65,19.92,19.83,0.0900000000000034,0.4538577912254333,899959.0,,tushare_legacy_get_k_data,19.57,18.254,0,0.0,0.004538577912254427,0.0,1.0,1.1752212389380536,0.0,0.0025037556334499556
000776.SZ,20250729,19.8,19.9,19.55,19.82,19.92,-0.1000000000000014,-0.5020080321285212,651293.0,,tushare_legacy_get_k_data,19.796,18.438666666666666,0,0.0,-0.005020080321285203,-0.0,1.0,1.1693215339233043,0.0,0.007511266900350311
000776.SZ,20250730,19.8,20.05,19.46,19.66,19.82,-0.1600000000000001,-0.8072653884964689,632896.0,,tushare_legacy_get_k_data,19.84,18.610666666666667,0,0.0,-0.008072653884964698,-0.0,1.0,1.1598820058997055,0.0,0.015523284927390857
000776.SZ,20250731,19.58,19.71,18.95,19.09,19.66,-0.5700000000000003,-2.899287894201426,939463.0,,tushare_legacy_get_k_data,19.663999999999998,18.726,0,0.0,-0.0289928789420143,-0.0,1.0,1.1262536873156346,0.0,0.04406609914872295
000776.SZ,20250801,19.11,19.79,18.95,19.24,19.09,0.1499999999999985,0.7857517024620145,922041.0,,tushare_legacy_get_k_data,19.546,18.836000000000002,0,0.0,0.00785751702462023,0.0,1.0,1.1351032448377585,0.0,0.036554832248372415
000776.SZ,20250804,19.18,19.56,19.17,19.28,19.24,0.0400000000000027,0.2079002079002219,553485.0,,tushare_legacy_get_k_data,19.418,18.943333333333335,0,0.0,0.0020790020790022457,0.0,1.0,1.1374631268436584,0.0,0.03455182774161214
000776.SZ,20250805,19.35,19.65,19.25,19.53,19.28,0.25,1.296680497925311,664556.0,,tushare_legacy_get_k_data,19.360000000000003,19.065333333333335,0,0.0,0.012966804979253066,0.0,1.0,1.1522123893805314,0.0,0.022033049574361363
000776.SZ,20250806,19.53,19.74,19.48,19.61,19.53,0.0799999999999983,0.4096262160778202,478947.0,,tushare_legacy_get_k_data,19.35,19.211333333333336,0,0.0,0.004096262160778297,0.0,1.0,1.156932153392331,0.0,0.018027040560841034
000776.SZ,20250807,19.56,19.79,19.4,19.46,19.61,-0.1499999999999985,-0.7649158592554747,466503.0,,tushare_legacy_get_k_data,19.424,19.341333333333335,0,0.0,-0.007649158592554772,-0.0,1.0,1.148082595870207,0.0,0.025538307461191567
000776.SZ,20250808,19.47,19.75,19.2,19.61,19.46,0.1499999999999985,0.7708119218910512,652662.0,,tushare_legacy_get_k_data,19.497999999999998,19.45,0,0.0,0.00770811921891057,0.0,1.0,1.156932153392331,0.0,0.018027040560841034
000776.SZ,20250811,19.5,19.82,19.5,19.61,19.61,0.0,0.0,531487.0,,tushare_legacy_get_k_data,19.564,19.517333333333333,0,0.0,0.0,0.0,1.0,1.156932153392331,0.0,0.018027040560841034
