ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,data_source,rsi14,macd_dif,macd_dea,macd_hist,bb_middle,bb_upper,bb_lower,kdj_k,kdj_d,kdj_j
000776.SZ,20250731,19.58,19.71,18.95,19.09,19.66,-0.5700000000000003,-2.899287894201426,939463.0,,tushare_legacy_get_k_data,69.33324414727191,0.6897743047136693,0.5764928687061897,0.22656287201495928,,,,73.40314337120617,82.16099075795451,55.88744859770949
000776.SZ,20250801,19.11,19.79,18.95,19.24,19.09,0.1499999999999985,0.7857517024620145,922041.0,,tushare_legacy_get_k_data,70.63549074747627,0.6536684505058759,0.5919279850661269,0.12348093087949796,18.4285,20.58034827532054,16.27665172467946,64.60209558080408,76.30802569890436,41.19023534460351
000776.SZ,20250804,19.18,19.56,19.17,19.28,19.24,0.0400000000000027,0.2079002079002219,553485.0,,tushare_legacy_get_k_data,70.98927411203304,0.621122058172066,0.5977667996873147,0.04671051696950257,18.545,20.6147777658483,16.475222234151705,55.79533644780881,69.47046261520585,28.44508411301473
000776.SZ,20250805,19.35,19.65,19.25,19.53,19.28,0.25,1.296680497925311,664556.0,,tushare_legacy_get_k_data,73.16535583899194,0.6084874538288005,0.599910930515612,0.017153046626377177,18.669,20.661364424496675,16.676635575503326,51.51787861952688,63.48626794997952,27.58109995862162
000776.SZ,20250806,19.53,19.74,19.48,19.61,19.53,0.0799999999999983,0.4096262160778202,478947.0,,tushare_legacy_get_k_data,73.84153764333193,0.5980359837156577,0.5995359411556211,-0.0029999148799269015,18.7955,20.686959489389068,16.904040510610933,50.6415487093142,59.204694869757745,33.515256388427105
000776.SZ,20250807,19.56,19.79,19.4,19.46,19.61,-0.1499999999999985,-0.7649158592554747,466503.0,,tushare_legacy_get_k_data,70.26633316827058,0.5710664731288304,0.593842047550263,-0.04555114884286526,18.9005,20.69206328383899,17.10893671616101,46.35362506546875,54.92100493499474,29.21886532641676
000776.SZ,20250808,19.47,19.75,19.2,19.61,19.46,0.1499999999999985,0.7708119218910512,652662.0,,tushare_legacy_get_k_data,71.73986353936876,0.5553944466220138,0.5861525273646132,-0.061516161485198895,19.0015,20.712082064678555,17.290917935321445,50.90241671031247,53.58147552676731,45.54429907740278
000776.SZ,20250811,19.5,19.82,19.5,19.61,19.61,0.0,0.0,531487.0,,tushare_legacy_get_k_data,71.73986353936876,0.5367865119329451,0.5762793242782797,-0.07898562469066905,19.0985,20.713408975763013,17.48359102423699,53.93494447354162,53.69929850902541,54.406236402574024
000776.SZ,20250812,19.7,20.07,19.64,19.99,19.61,0.379999999999999,1.937786843447216,677801.0,,tushare_legacy_get_k_data,75.33166384435206,0.5464038108297373,0.5703042215885712,-0.047800821517667735,19.213,20.73723226576527,17.68876773423473,66.90901060140864,58.10253587315315,84.52196005791963
000776.SZ,20250813,20.12,20.75,19.99,20.44,19.99,0.4500000000000028,2.251125562781405,1046489.0,,tushare_legacy_get_k_data,78.77240718069963,0.5836093434602176,0.5729652459629005,0.02128819499463419,19.364,20.73885126468281,17.98914873531719,72.19859966019838,62.801223802168224,90.99335137625869
000776.SZ,20250814,20.44,21.25,20.36,20.64,20.44,0.1999999999999993,0.9784735812133036,1136197.0,,tushare_legacy_get_k_data,80.1008679068949,0.6220625745130413,0.5827847116729287,0.07855572568022517,19.520500000000002,20.71650125417991,18.324498745820094,71.6900920811579,65.76417989516479,83.54191645314413
000776.SZ,20250815,20.59,21.67,20.49,21.18,20.64,0.5399999999999991,2.6162790697674376,1302409.0,,tushare_legacy_get_k_data,83.16441541627536,0.6881776407280675,0.6038632974839565,0.16862868648822205,19.680500000000002,20.865480590558303,18.4955194094417,74.51404249405125,68.68080076146028,86.18052595923322
000776.SZ,20250818,21.26,21.27,20.61,20.81,21.18,-0.370000000000001,-1.7469310670443865,1389938.0,,tushare_legacy_get_k_data,74.68060491175487,0.7026190442785527,0.6236144468428758,0.1580091948713538,19.791,20.96445472856855,18.61754527143145,71.40342374097341,69.58834175463132,75.0335877136576
000776.SZ,20250819,20.6,20.9,20.52,20.61,20.81,-0.1999999999999993,-0.9610764055742398,573379.0,,tushare_legacy_get_k_data,70.49439535139197,0.6899720636496909,0.6368859702042389,0.10617218689090402,19.887,20.996884678694094,18.777115321305907,66.63062257495392,68.60243536140551,62.68699700205073
